CopyFolderContainingCheckedOutFileByMoreOptionsMenu,PersonalFolders.CheckInCheckOut.Copy
MobileConsumeSingleFileShare,MobileSpecific.MobileView
VerifyViewOptionNotAvailableForShareAndFolder,Shares.Send
WOPIViewOptionNotAvailableForNonSupportedFiles,PersonalFolders.Files.ViewFiles
NonLockOwnerRestoreCheckedOutFile,PersonalFolders.CheckInCheckOut.Delete
ReplyToEncryptedEmail,Inbox.EncryptedEmail
RevokeAccessForMultipleEncryptedEmails,Inbox.EncryptedEmail
CheckOutAndCheckInFile,PersonalFolders.CheckInCheckOut.CheckInCheckOut
ComposeMessageUsingSharedAddressBook,Inbox.EncryptedEmail
SortClientsByNameFromBrowse,ManageUsers.Clients.SortClients
RememberSubjectAndMessage,Shares.Send
SearchSharedAddressBookByLetterTab,ManageUsers.AddressBook.Shared.SearchUsers
WOPINonLockOwnerCanOnlineViewCheckedOutFile,PersonalFolders.CheckInCheckOut.View
DeleteFolderContainingCheckedOutFile,PersonalFolders.CheckInCheckOut.Delete
MobileConsumeViewOnlyMultiFileShare,MobileSpecific.MobileView
FolderTemplatesDeleteFolder,AdminSettings.DynamicFolderTemplates.DynamicFolderTemplates
EditCheckedOutFile,PersonalFolders.CheckInCheckOut.Edit
CopyMultipleFilesIncludingCheckedOutFile,PersonalFolders.CheckInCheckOut.Copy
SendMultipleFilesIncludingCheckedOutFileAndCancel,PersonalFolders.CheckInCheckOut.Send
SortBySizeForRecipientOfSharedFolderInThumbView,SharedFolders.Folders.SortFolders
EmailWithShareFileVerifyExpirationToast,Shares.Send
GetALinkVerifyExpirationToast,Shares.Send
ComposeMessage,Inbox.EncryptedEmail
ComposeMessageUsingPersonalAddressBook,Inbox.EncryptedEmail
ReplyAllWithMultipleFiles,Inbox.EncryptedEmail
EditFolderTemplate_RenameFolder,AdminSettings.DynamicFolderTemplates.DynamicFolderTemplates
DoNotApplyPermissionsToSubfolders,SharedFolders.FolderAccess.ShareFoldersWithUser
EncryptedEmail_ViewSentEmails,Inbox.EncryptedEmail
DeleteAlternateEmail,PersonalSettings.EditEmailAddress
DeleteAndRestoreCheckedOutFile,PersonalFolders.CheckInCheckOut.Delete
FavoriteASharedFolder,SharedFolders.Folders.EditFolders
AdminCanEditFileAfterDiscardingCheckOut,PersonalFolders.CheckInCheckOut.Edit
ViewSentMessages,Inbox.SentMessages
AdminMoveCheckOutFileAfterDiscardingLock,PersonalFolders.CheckInCheckOut.Move
CheckInFileWithDifferentName,PersonalFolders.CheckInCheckOut.CheckInCheckOut
SortOrderForRecipientOfSharedFolder,SharedFolders.FolderAccess.ShareFoldersWithUser
RemoveUserFromFolderAccess,SharedFolders.FolderAccess.ShareFoldersWithUser
NonLockOwnerEditFolderWithCheckedOutFileByFolderActions,PersonalFolders.CheckInCheckOut.Edit
AttachFileFromShareFile,Inbox.EncryptedEmail
SearchEmployeeFromManageUsersHome,ManageUsers.Employees.SearchEmployee
ViewAndEditNoteFromSharedFolders,MoreOptions.Notes.EditNotes
MoveRecentReportFavorites,AdminSettings.Reporting
CheckOutAndRequestFileWithFolderActions,PersonalFolders.CheckInCheckOut.Request
MoveCheckedOutFile,PersonalFolders.CheckInCheckOut.Move
MobileConsumeSingleNonRenderShare,MobileSpecific.MobileView
DownloadReport_Messaging,AdminSettings.Reporting
SortSharedFoldersByUploadTimeInThumbView,SharedFolders.Folders.SortFolders
UserCanBeOptedOutOfStorageLocationPolicy,PolicyBasedAdministration.ManageUsers
AddEmployeeFromExcelFinishWithoutSending,ManageUsers.Employees.CreateEmployee
SortFolderTemplates,AdminSettings.DynamicFolderTemplates.DynamicFolderTemplates
CheckOutAndRequestFileFromNonLockOwnerRequireLogin,PersonalFolders.CheckInCheckOut.Request
LoginRememberMe,Login.UserLogin
ViewReceivedEncryptedEmail,Inbox.EncryptedEmail
ReplyWithMultipleFiles,Inbox.EncryptedEmail
MoveRecentReportShared,AdminSettings.Reporting
SendFolderContainingCheckedOutFileByBulkOperations,PersonalFolders.CheckInCheckOut.Send
AddUserFromSharedAddressBookToPersonalAddressBook,ManageUsers.AddressBook.Personal.AddUsers
RememberRequestSubjectAndMessage,Shares.Request
SortByTitleForRecipientOfSharedFolderInThumbView,SharedFolders.Folders.SortFolders
NonLockOwnerMoveFolderContainingCheckedOutFileByBulkOperations,PersonalFolders.CheckInCheckOut.Move
OfficeOnlineViewAndVerifyPowerPointShare,Shares.ViewShares
RenameFolderInMyFiles,PersonalFolders.Folders.EditFolders
ViewOnlyGetALink,Shares.ViewOnlyShares
DownloadReport_Storage_EntireAccount,AdminSettings.Reporting
CopyURLToSameFolder,MoreOptions.URL.CopyURL
MobileCICODisabled,MobileSpecific.MobileView
SwitchBetweenGridViewAndListView,PersonalFolders.Folders.BrowseFolders
CV_ListView_RightClickViewDetail,ContentViewer.CVLaunching
RevokeAccessToEncryptedEmailAndRequest,Inbox.EncryptedEmail
RemoveUsersFromFileDrop,AdminSettings.FileDrops.CreateFileDrops
ResendLinkEmailWhenFileViewed,Shares.ViewOnlyShares
RequireRecipientToLogin,Inbox.EncryptedEmail
AttachFilesFromShareFileAndLocalComputer,Inbox.EncryptedEmail
NonLockOwnerLoginBeforeCheckOutAndDeleteFile,PersonalFolders.CheckInCheckOut.Delete
EditFolderWithCheckOutFileByManageFolderActions,PersonalFolders.CheckInCheckOut.Edit
DiscardCheckOutAndCheckNotification,PersonalFolders.CheckInCheckOut.CheckInCheckOut
ModifyFolderPermissionsWithBulkFolderAccess,ManageUsers.Employees.EditEmployee
DiscardLockOnCheckedOutFile,PersonalFolders.CheckInCheckOut.CheckInCheckOut
